Training Set:{'prince-toronto-all-rnr-threads.txt', 'germanwings-crash-all-rnr-threads.txt', 'sydneysiege-all-rnr-threads.txt', 'ebola-essien-all-rnr-threads.txt', 'putinmissing-all-rnr-threads.txt', 'ottawashooting-all-rnr-threads.txt', 'ferguson-all-rnr-threads.txt', 'gurlitt-all-rnr-threads.txt'}
Training Set:{'ferguson-all-rnr-threads.txt', 'sydneysiege-all-rnr-threads.txt', 'prince-toronto-all-rnr-threads.txt', 'ebola-essien-all-rnr-threads.txt', 'putinmissing-all-rnr-threads.txt', 'ottawashooting-all-rnr-threads.txt', 'gurlitt-all-rnr-threads.txt', 'germanwings-crash-all-rnr-threads.txt'}
count:2418,281,360,483
weights:[0.04688702933654714, 0.40346205315220995, 0.3149245470438083, 0.23472637046743478]
Iteration 1 Loss: 141.4277801513672
Iteration 2 Loss: 136.2486572265625
Iteration 3 Loss: 138.26268005371094
Iteration 4 Loss: 135.4110107421875
Iteration 5 Loss: 133.53846740722656
Iteration 6 Loss: 140.4368896484375
Iteration 7 Loss: 138.77537536621094
Iteration 8 Loss: 139.14292907714844
Iteration 9 Loss: 137.67138671875
Iteration 10 Loss: 135.72689819335938
Iteration 11 Loss: 137.20188903808594
Iteration 12 Loss: 133.7587432861328
Iteration 13 Loss: 133.76963806152344
Iteration 14 Loss: 134.53060913085938
Iteration 15 Loss: 136.15908813476562
Iteration 16 Loss: 136.48928833007812
Iteration 17 Loss: 134.77597045898438
Iteration 18 Loss: 130.14584350585938
Iteration 19 Loss: 134.96713256835938
Iteration 20 Loss: 135.84034729003906
Iteration 21 Loss: 128.49960327148438
Iteration 22 Loss: 130.36102294921875
Iteration 23 Loss: 133.20616149902344
Iteration 24 Loss: 129.19322204589844
Iteration 25 Loss: 129.98214721679688
Iteration 26 Loss: 126.29608154296875
Iteration 27 Loss: 127.25435638427734
Iteration 28 Loss: 129.45223999023438
Iteration 29 Loss: 129.12818908691406
Iteration 30 Loss: 132.01512145996094
Iteration 31 Loss: 129.32920837402344
Iteration 32 Loss: 125.93742370605469
Iteration 33 Loss: 135.1434326171875
Iteration 34 Loss: 133.3270721435547
Iteration 35 Loss: 129.04998779296875
Iteration 36 Loss: 130.73028564453125
Iteration 37 Loss: 134.12721252441406
Iteration 38 Loss: 129.98875427246094
Iteration 39 Loss: 129.34300231933594
Iteration 40 Loss: 129.26036071777344
Iteration 41 Loss: 129.26077270507812
Iteration 42 Loss: 130.30694580078125
Iteration 43 Loss: 125.68997955322266
Iteration 44 Loss: 129.93858337402344
Iteration 45 Loss: 126.10704803466797
Iteration 46 Loss: 126.73941040039062
Iteration 47 Loss: 127.15850830078125
Iteration 48 Loss: 126.62319946289062
Iteration 49 Loss: 125.169677734375
Iteration 50 Loss: 122.21368408203125
Iteration 51 Loss: 131.60243225097656
Iteration 52 Loss: 129.31858825683594
Iteration 53 Loss: 127.54052734375
Iteration 54 Loss: 130.73837280273438
Iteration 55 Loss: 124.48750305175781
Iteration 56 Loss: 127.11052703857422
Iteration 57 Loss: 128.6714630126953
Iteration 58 Loss: 126.19999694824219
Iteration 59 Loss: 131.9041748046875
Iteration 60 Loss: 126.90375518798828
Iteration 61 Loss: 126.76498413085938
Iteration 62 Loss: 130.69406127929688
Iteration 63 Loss: 128.9644012451172
Iteration 64 Loss: 129.85716247558594
Iteration 65 Loss: 136.19956970214844
Iteration 66 Loss: 135.94081115722656
Iteration 67 Loss: 131.6275177001953
Iteration 68 Loss: 126.7774887084961
Iteration 69 Loss: 127.88102722167969
Iteration 70 Loss: 126.65927124023438
Iteration 71 Loss: 126.65987396240234
Iteration 72 Loss: 125.05596160888672
Iteration 73 Loss: 123.77085876464844
Iteration 74 Loss: 126.94700622558594
Iteration 75 Loss: 127.02622985839844
Iteration 76 Loss: 124.55921173095703
Iteration 77 Loss: 125.851806640625
